"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","Department","salary","left"
"4702",0.28,0.76,3,150,2,0,0,10,3,"0"
"13855",0.2,0.68,5,167,7,0,0,5,3,"0"
"6634",0.55,0.6,5,271,3,1,0,7,3,"0"
"11875",0.73,0.9,3,274,2,0,0,9,1,"0"
"14099.2",0.96,0.59,3,241,3,0,0,6,2,"0"
"3533",0.58,0.61,4,210,3,0,0,8,3,"0"
"2210.1",0.5,0.63,3,172,2,0,0,7,3,"0"
"11999.1",0.33,0.65,3,172,10,0,1,5,1,"0"
"5135.1",0.62,0.91,3,195,3,0,0,8,3,"0"
"2642",0.87,0.68,4,246,2,0,0,9,3,"0"
"9996",0.93,0.79,5,241,4,0,0,5,1,"0"
"4479",0.79,0.86,3,139,3,0,0,9,2,"0"
"7943.1",0.81,0.52,4,221,6,0,0,5,1,"0"
"11115",0.76,0.67,5,243,3,0,0,8,2,"0"
"3473",0.79,0.48,4,178,2,0,0,10,2,"0"
"10970",0.69,0.98,4,180,3,0,0,9,3,"0"
"2721.1",0.63,0.62,4,184,4,0,0,9,3,"0"
"7843",0.49,0.52,3,225,2,0,0,10,1,"0"
"14072.2",0.78,0.9,5,158,3,0,0,8,2,"0"
"3413",0.98,0.7,4,253,2,0,0,9,2,"0"
"3429",0.71,0.67,3,264,3,0,0,3,3,"0"
"4057.1",0.45,0.72,3,148,2,0,0,8,2,"0"
"6680.1",0.72,0.61,5,170,3,0,0,10,3,"0"
"4748.1",0.78,0.58,3,224,2,0,0,8,3,"0"
"10670",0.72,0.7,4,172,3,0,0,3,3,"0"
"13941",0.93,0.7,5,231,7,0,1,8,1,"0"
"3747",0.91,0.91,3,167,3,0,0,5,3,"0"
"5586.1",0.86,0.77,5,230,2,0,0,8,3,"0"
"4560",0.59,0.72,4,264,3,0,0,9,2,"0"
"9730",0.47,0.41,2,140,3,0,0,2,3,"0"
"9519",0.52,0.71,3,151,3,0,0,9,2,"0"
"3303",0.7,0.77,2,235,3,1,0,8,3,"0"
"8031",0.76,0.97,5,172,3,0,0,8,3,"0"
"6551",0.73,0.67,4,153,3,0,0,3,1,"0"
"5695.1",0.89,0.93,4,137,2,0,0,10,2,"0"
"13608",0.63,0.48,4,180,4,0,0,4,1,"0"
"8328",0.48,0.64,4,146,2,0,0,5,2,"0"
"4203.2",0.13,0.65,4,194,4,0,0,9,3,"0"
"13088",0.53,0.81,3,275,2,0,0,10,2,"0"
"5597",0.62,0.98,4,107,2,0,0,8,2,"0"
"10295",0.16,0.97,6,282,4,0,0,6,2,"0"
"3186",0.9,0.74,5,249,3,0,0,9,3,"0"
"10824.2",0.7,0.87,3,166,2,0,0,3,3,"0"
"7180.1",0.7,0.5,6,214,5,0,0,9,3,"0"
"7609",0.3,0.85,2,203,3,0,0,9,3,"0"
"2589",0.52,0.84,2,226,3,0,0,7,2,"0"
"9352",0.63,0.59,4,249,2,0,0,10,2,"0"
"4064.2",0.64,0.85,5,179,2,0,0,8,2,"0"
"12913.1",0.22,0.61,3,148,5,0,0,8,3,"0"
"6179",0.87,0.89,3,140,2,1,0,7,2,"0"
"11259",0.76,0.77,4,169,10,0,0,4,3,"0"
"10408",0.73,0.98,4,216,2,0,0,8,2,"0"
"2825",0.2,0.89,6,244,3,0,0,7,2,"0"
"10407",0.25,0.82,5,244,5,1,0,8,3,"0"
"11614",0.56,0.85,3,265,10,1,0,4,2,"0"
"7919.1",0.9,0.81,6,273,5,0,0,10,3,"0"
"6561.1",0.57,0.59,4,206,3,0,0,7,3,"0"
"2951",0.5,0.73,4,237,2,0,0,9,3,"0"
"8396",0.63,0.77,5,210,3,0,0,7,3,"0"
"9779",0.34,0.46,5,131,3,0,0,5,3,"0"
"8703",0.54,0.7,3,213,2,0,0,5,2,"0"
"11419",0.75,0.99,2,237,5,1,0,6,2,"0"
"4148",0.82,0.88,4,149,2,0,0,8,2,"0"
"9923",0.95,0.73,2,187,2,0,0,3,3,"0"
"5086.1",0.72,0.63,3,149,2,0,0,9,3,"0"
"5672",0.75,0.96,5,190,3,0,0,8,3,"0"
"9555.1",0.62,0.68,3,134,2,0,0,8,3,"0"
"11881",0.92,0.6,3,179,2,0,0,3,2,"0"
"7065",0.53,0.63,3,205,2,0,0,10,3,"0"
"3296",0.74,0.86,3,186,3,1,0,8,1,"0"
"7211.1",0.51,0.89,6,170,4,0,0,2,2,"0"
"10152",0.59,0.73,3,195,2,0,0,7,3,"0"
"11292.1",0.62,0.91,3,251,10,0,0,8,3,"0"
"12817",0.61,0.75,3,140,3,0,0,7,2,"0"
"9121.2",0.76,0.71,6,168,2,0,0,10,1,"0"
"4758",0.85,0.84,5,179,3,0,0,8,2,"0"
"5776",0.86,0.69,5,157,4,0,0,9,2,"0"
"2591",0.68,0.9,2,133,4,0,0,7,2,"0"
"6343",0.58,0.78,5,211,3,1,0,5,2,"0"
"7577",0.66,0.83,4,234,4,0,0,8,3,"0"
"2399.1",0.54,0.93,4,161,4,1,0,2,2,"0"
"13420",0.93,0.73,4,283,7,0,0,8,1,"0"
"3245.1",0.49,0.98,3,267,2,0,0,10,2,"0"
"3974",0.94,0.8,4,238,3,1,0,4,3,"0"
"13200",0.32,0.86,4,266,4,0,0,7,2,"0"
"8405",0.82,0.55,3,207,2,0,0,5,1,"0"
"8790",1,0.49,4,140,3,0,0,8,2,"0"
"4238",0.62,0.7,5,270,3,0,0,10,1,"0"
"7493",0.15,0.98,2,96,2,0,0,8,1,"0"
"10753",0.94,0.69,5,145,2,0,0,6,3,"0"
"5939.1",1,0.59,5,182,3,1,0,4,3,"0"
"3869",0.49,0.51,4,133,3,0,0,9,2,"0"
"11601",0.95,0.75,4,151,3,0,0,6,3,"0"
"3588",1,0.53,3,142,3,0,0,8,2,"0"
"4553",0.51,0.91,4,269,5,0,1,9,3,"0"
"7675",0.4,0.65,6,172,2,1,0,10,2,"0"
"7296",0.97,0.63,3,141,3,0,0,10,3,"0"
"9003",0.9,0.9,3,147,3,1,0,7,3,"0"
"2759",0.59,0.83,3,156,2,0,0,8,3,"0"
"13970",0.58,0.84,4,206,7,0,1,4,1,"0"
"13565",0.36,0.73,2,111,2,0,0,8,2,"0"
"2928",0.68,0.56,4,272,3,0,0,8,2,"0"
"2946.1",0.72,0.98,5,197,4,0,0,10,2,"0"
"10399.1",0.96,0.74,5,194,4,1,0,8,3,"0"
"4593",0.89,0.9,3,240,3,0,0,8,1,"0"
"10397",0.66,0.95,5,206,2,0,0,8,3,"0"
"4032.1",0.58,0.73,4,205,4,0,0,3,2,"0"
"3659",0.76,0.74,4,235,3,0,0,7,1,"0"
"10861",0.76,0.94,3,189,3,0,0,8,3,"0"
"9614",0.81,0.54,4,155,4,0,0,1,1,"0"
"11431",0.67,0.7,3,149,3,0,0,9,2,"0"
"7758",0.45,0.48,5,287,5,0,0,9,3,"0"
"5027",0.84,0.91,5,208,3,0,0,6,2,"0"
"3807.1",0.68,0.55,3,213,3,0,0,6,3,"0"
"5962",0.66,0.73,2,135,6,0,0,5,3,"0"
"9880",0.89,0.96,3,122,4,0,0,2,2,"0"
"9529.1",0.27,0.85,2,277,6,1,0,3,2,"0"
"13884.1",0.5,0.68,3,245,4,0,0,5,3,"0"
"6208",0.63,0.98,4,210,3,0,0,8,3,"0"
"6023",0.77,0.66,6,181,4,0,0,6,1,"0"
"6205.1",0.49,0.68,4,201,4,0,0,8,3,"0"
"11144",0.33,0.64,2,274,3,1,0,10,1,"0"
"11131",0.82,0.87,5,145,6,0,0,2,3,"0"
"13859.1",0.31,0.63,4,104,7,1,0,8,3,"0"
"5640",0.79,0.71,3,202,3,0,0,6,3,"0"
"13306",0.51,0.63,4,198,2,0,0,4,3,"0"
"13565.1",0.36,0.73,2,111,2,0,0,8,2,"0"
"2941",0.54,0.98,3,197,3,0,0,10,2,"0"
"13900",0.94,0.9,4,144,4,0,0,9,2,"0"
"5499",0.97,1,5,251,2,0,0,1,3,"0"
"10181",0.88,0.5,3,142,3,0,0,1,2,"0"
"9268",0.57,0.69,4,255,3,0,0,2,3,"0"
"13049",0.86,0.66,4,251,3,0,0,7,2,"0"
"11348.1",0.69,0.72,4,185,10,1,0,4,1,"0"
"5991",0.68,0.57,5,187,4,0,0,10,1,"0"
"13803",0.54,0.64,3,190,7,0,0,8,3,"0"
"7824",0.63,0.96,3,144,2,0,0,10,3,"0"
"9160",0.75,0.64,3,195,3,0,0,8,1,"0"
"12804",0.59,0.72,4,168,4,0,0,4,3,"0"
"9856.2",0.67,0.83,3,171,3,1,0,5,3,"0"
"8794.1",0.65,0.91,3,207,3,0,0,8,2,"0"
"6797",0.56,0.76,4,206,2,1,0,9,2,"0"
"7184.1",0.91,0.58,3,257,3,0,0,5,3,"0"
"7691.1",0.77,0.71,5,233,2,0,0,10,2,"0"
"10909",0.47,0.46,2,152,2,0,0,3,3,"0"
"6777",0.55,0.71,3,211,2,0,0,4,2,"0"
"11482",0.83,0.73,4,157,2,0,0,7,3,"0"
"10665",0.37,0.72,3,169,2,1,0,9,3,"0"
"3417.2",0.84,0.97,6,223,2,0,0,10,3,"0"
"7406",0.55,0.97,2,140,2,0,0,8,3,"0"
"7933",0.17,0.85,3,234,3,0,0,7,2,"0"
"10685",0.44,0.61,5,230,6,0,0,5,2,"0"
"14145.1",0.95,0.99,5,251,4,0,0,6,2,"0"
"8441",0.55,0.49,5,240,3,0,0,10,1,"0"
"2189",0.18,0.8,2,110,5,0,0,9,2,"0"
"7075",0.93,0.57,5,143,2,0,0,9,3,"0"
"7507",0.14,0.41,6,114,3,0,0,8,2,"0"
"7407",0.92,0.84,3,164,2,0,0,1,3,"0"
"3606",0.73,0.81,4,245,2,0,0,8,2,"0"
"11201",0.69,0.72,4,210,2,1,0,8,1,"0"
"10716",0.64,0.49,3,241,3,0,0,2,3,"0"
"5818",0.57,0.62,3,154,2,0,0,8,3,"0"
"13805.1",0.65,0.85,4,172,3,0,0,8,3,"0"
"4921",0.96,0.71,3,170,3,0,0,10,2,"0"
"8426",0.6,0.74,4,174,3,0,0,1,2,"0"
"8203",0.95,0.87,4,135,3,0,0,10,2,"0"
"7894",0.75,0.81,2,247,4,0,0,2,2,"0"
"9988",0.79,0.88,3,195,4,0,0,3,2,"0"
"14071",0.51,0.56,4,168,2,0,0,8,2,"0"
"9086",0.86,0.61,5,265,3,0,0,9,2,"0"
"10621",0.39,0.37,5,156,4,0,0,8,3,"0"
"5974",0.87,0.74,4,151,4,0,0,8,3,"0"
"4799",0.33,0.82,5,249,6,0,0,6,2,"0"
"11446.1",0.51,0.63,5,260,2,0,0,6,1,"0"
"9907",0.82,0.85,5,195,4,0,0,10,2,"0"
"3248",0.67,0.61,3,202,2,0,0,10,3,"0"
"8855",0.71,0.54,3,249,3,0,0,5,3,"0"
"4431",0.51,0.58,4,272,3,0,0,1,3,"0"
"9445",0.33,0.58,3,115,3,0,0,10,2,"0"
"9220.1",0.24,0.6,2,194,6,0,0,3,3,"0"
"7217.1",0.72,0.62,4,252,2,1,0,10,3,"0"
"11314",0.5,0.59,4,214,3,1,0,10,2,"0"
"5430",0.57,0.61,5,191,4,0,0,8,3,"0"
"10974",0.67,0.63,3,227,3,0,0,10,3,"0"
"3827.1",0.97,0.65,3,181,3,0,0,8,2,"0"
"3013",0.73,0.93,5,167,3,0,0,2,2,"0"
"6023.1",0.77,0.66,6,181,4,0,0,6,1,"0"
"11686",0.41,0.38,4,142,10,1,0,9,2,"0"
"11249.1",0.72,0.8,3,222,3,0,0,3,3,"0"
"4552",0.53,0.74,5,237,2,0,1,9,3,"0"
"2180.1",0.89,0.47,4,108,3,0,0,10,2,"0"
"7533",0.62,0.56,4,267,4,0,0,9,3,"0"
"5334",0.96,0.98,5,248,3,0,0,6,2,"0"
"2103",0.15,0.53,6,222,3,0,0,10,3,"0"
"10679",0.16,0.83,5,173,4,0,0,3,1,"0"
"4723",0.5,0.82,3,133,2,1,0,6,2,"0"
"13574",0.43,0.65,4,124,2,0,0,8,3,"0"
"10715.1",0.14,0.66,5,281,4,1,0,1,3,"0"
"14183",0.85,0.89,4,150,3,0,0,1,1,"0"
"6969",0.85,0.97,4,210,2,0,0,8,3,"0"
"13977",0.92,0.64,4,190,10,1,0,4,2,"0"
"11598",0.99,0.94,5,151,3,0,0,6,3,"0"
"2105",0.17,0.73,5,258,4,0,0,10,3,"0"
"6421",0.68,0.54,3,270,4,1,0,8,2,"0"
"5095",0.96,0.51,3,237,4,0,0,10,1,"0"
"9809.1",0.56,0.89,3,163,3,1,0,10,1,"0"
"11095.1",0.51,0.63,4,198,2,0,0,4,3,"0"
"4776",1,0.8,5,162,3,1,0,10,3,"0"
"9949",0.8,0.8,4,229,4,0,0,8,2,"0"
"4064.3",0.64,0.85,5,179,2,0,0,8,2,"0"
"6392.2",0.59,0.59,4,270,2,0,0,10,2,"0"
"7114",0.88,0.82,3,244,3,0,0,8,2,"0"
"5421",0.7,0.6,3,183,3,0,0,8,2,"0"
"10602",0.85,0.99,3,208,2,0,0,6,2,"0"
"9706",0.9,0.52,3,162,2,0,0,8,1,"0"
"10045.1",0.98,0.5,3,251,3,0,0,10,3,"0"
"12905.2",0.73,0.97,4,163,3,0,0,8,3,"0"
"7718",0.14,0.8,5,226,3,0,0,8,3,"0"
"8027",0.92,0.74,4,213,3,0,0,8,3,"0"
"11300",0.77,0.75,6,246,6,0,0,8,2,"0"
"11208",0.49,0.65,4,233,7,0,0,8,3,"0"
"9580",0.91,0.66,3,168,3,0,0,10,3,"0"
"6001",0.72,0.96,5,223,3,1,0,9,2,"0"
"6589",0.47,0.71,2,241,4,0,0,8,2,"0"
"9994",0.84,0.71,3,179,2,0,0,6,2,"0"
"6089",0.61,0.41,3,103,2,0,0,10,1,"0"
"11551.1",0.63,0.6,4,258,3,0,0,8,3,"0"
"3935",0.22,0.51,4,131,2,0,0,10,3,"0"
"3748",0.96,0.53,5,224,4,0,0,8,2,"0"
"2368",0.64,0.54,3,166,2,0,0,9,3,"0"
"4628.1",0.17,0.83,6,195,5,0,0,9,1,"0"
"5125",0.23,0.48,5,221,6,0,0,8,3,"0"
"8478",0.6,0.52,5,140,3,0,0,9,2,"0"
"7095.1",0.56,0.64,3,262,2,1,0,7,2,"0"
"5507.1",0.92,0.81,3,196,2,0,0,8,3,"0"
"9127",0.64,0.91,4,150,3,0,0,10,2,"0"
"7606",0.96,0.95,3,236,2,0,0,9,3,"0"
"11191",0.28,0.89,4,97,6,0,0,4,2,"0"
"7036.1",0.8,0.82,4,202,3,0,0,8,2,"0"
"6164",0.74,0.84,3,239,3,0,0,10,2,"0"
"2344",0.82,0.97,3,115,2,1,0,9,2,"0"
"3578",0.49,0.84,5,193,3,0,0,6,3,"0"
"11469.1",0.59,0.62,3,166,2,0,0,8,2,"0"
"3145.1",0.5,0.75,5,255,3,0,0,8,3,"0"
"11119",0.49,1,2,125,4,1,0,8,2,"0"
"5032",0.16,0.99,3,213,6,1,1,7,3,"0"
"5738.1",0.81,0.49,2,205,5,1,0,8,2,"0"
"8481",0.56,0.67,4,184,3,0,0,5,2,"0"
"7173",0.62,0.95,3,189,4,0,0,7,2,"0"
"14187",0.59,0.77,3,272,8,0,0,4,1,"0"
"11255",0.24,0.94,6,144,4,0,0,6,2,"0"
"6330",0.95,0.37,6,233,5,0,0,7,3,"0"
"2069",0.62,0.74,4,213,4,0,0,5,2,"0"
"10547.1",0.13,0.61,6,283,5,0,0,8,3,"0"
"3413.1",0.98,0.7,4,253,2,0,0,9,2,"0"
"7457.1",0.99,0.86,3,166,2,0,0,9,2,"0"
"13361",0.28,0.44,4,170,2,0,0,9,2,"0"
"5419",0.49,0.47,4,285,3,0,0,7,2,"0"
"5383",0.19,0.72,6,243,6,1,0,10,2,"0"
"9786",0.5,0.49,5,256,3,0,0,8,3,"0"
"2076",0.41,0.47,4,104,3,0,0,8,2,"0"
"6517",0.69,0.67,4,274,4,0,0,1,3,"0"
"11444",0.58,0.8,4,113,3,0,0,3,3,"0"
"4425",0.88,0.71,4,250,3,0,0,7,3,"0"
"6526.1",0.75,0.85,4,272,4,0,0,10,1,"0"
"8138.1",0.99,0.52,4,205,2,0,0,9,2,"0"
"3804",0.69,0.93,3,233,3,0,0,3,3,"0"
"6302.1",0.84,0.56,5,97,6,0,0,10,2,"0"
"9439",0.65,0.85,4,233,2,0,0,9,2,"0"
"5971",0.61,0.83,5,236,2,0,0,8,3,"0"
"8574.1",0.53,0.56,4,249,2,0,0,8,3,"0"
"2055",0.85,0.6,3,182,3,0,0,3,3,"0"
"7750",0.6,0.54,3,136,3,1,0,10,2,"0"
"4892",0.95,0.78,3,204,2,1,0,5,3,"0"
"10956",0.83,0.99,5,132,3,0,0,10,2,"0"
"8057",0.79,0.55,4,266,3,0,0,10,2,"0"
"2078",0.74,0.62,4,236,4,0,0,8,2,"0"
"9016",0.66,1,4,192,2,0,0,8,2,"0"
"9055",0.64,0.77,3,249,2,1,0,9,2,"0"
"11795.1",0.61,0.89,4,242,2,0,0,4,3,"0"
"7499",0.97,0.94,3,202,2,0,0,8,3,"0"
"3135",0.93,0.95,6,147,3,0,0,10,2,"0"
"2685",0.61,0.87,5,174,4,0,0,8,3,"0"
"4585.1",0.83,0.53,5,182,2,1,0,10,3,"0"
"4698",0.62,0.49,4,175,3,0,0,10,3,"0"
"9753.1",0.69,0.67,4,156,3,0,0,10,2,"0"
"6096",0.92,0.54,5,203,3,0,0,3,3,"0"
"8689.1",0.65,0.92,3,101,3,1,0,3,3,"0"
"10500",0.17,0.73,4,188,5,0,0,10,2,"0"
"7670",0.82,0.51,3,210,2,0,0,10,2,"0"
"2105.1",0.17,0.73,5,258,4,0,0,10,3,"0"
"5599",0.81,0.73,4,272,2,0,0,8,3,"0"
"6595.1",0.98,0.98,4,259,2,0,0,2,1,"0"
"13623",0.94,0.51,6,239,5,0,0,8,3,"0"
"2504.1",0.61,0.99,4,251,2,0,0,3,2,"0"
"5464.1",0.72,0.71,5,137,3,0,0,10,2,"0"
"6763",0.85,0.8,4,158,3,0,0,9,3,"0"
"11355",0.62,0.97,2,271,3,0,0,8,2,"0"
"13373",0.69,0.82,4,252,3,1,0,3,3,"0"
"14142",0.97,0.92,6,137,8,1,0,6,2,"0"
"8134.2",0.94,0.73,3,154,3,0,0,10,2,"0"
"2619.1",0.6,0.85,3,172,2,0,0,8,2,"0"
"7612",0.77,0.43,4,265,6,0,0,9,1,"0"
"7341",0.67,0.95,3,229,3,0,0,8,3,"0"
"4572",0.69,0.92,4,149,2,0,0,6,3,"0"
"13311.1",0.61,0.9,2,142,3,0,0,5,1,"0"
"6710",0.7,0.9,4,254,3,0,0,3,3,"0"
"5915.1",0.97,0.92,3,168,3,0,0,10,2,"0"
"8381",0.63,0.81,5,189,3,0,0,10,3,"0"
"13182",0.48,0.61,3,251,3,0,0,9,3,"0"
"10664",0.54,0.76,4,244,2,0,0,9,3,"0"
"10660",0.92,0.68,5,177,4,0,0,9,3,"0"
"9207.1",0.51,0.51,4,189,3,0,0,9,2,"0"
"2640",0.77,0.75,4,223,3,0,0,10,3,"0"
"4619",0.75,0.75,2,141,4,0,0,10,3,"0"
"4946",0.53,0.98,3,219,4,0,0,3,2,"0"
"4273",0.54,0.81,5,261,6,0,0,7,3,"0"
"11104",0.77,0.81,4,164,3,0,0,10,1,"0"
"2418",0.48,0.49,4,242,2,1,0,9,3,"0"
"5128",0.77,0.84,3,188,4,0,0,8,3,"0"
"13368",0.8,0.74,3,228,3,0,0,10,3,"0"
"7594",0.64,0.56,3,239,3,0,0,10,2,"0"
"2614.1",0.7,0.9,3,225,2,0,0,8,2,"0"
"2428",0.81,0.92,5,259,3,0,0,3,2,"0"
"5698.1",0.81,0.98,6,196,2,0,0,9,2,"0"
"7871",0.5,0.63,3,160,2,0,0,8,3,"0"
"13369",0.52,0.63,3,204,3,0,0,10,3,"0"
"4355",0.84,0.58,3,140,3,0,0,1,3,"0"
"7481",0.65,0.49,5,238,4,0,0,5,1,"0"
"7271",0.98,0.86,2,219,4,0,0,8,2,"0"
"11271",0.16,0.93,5,210,7,0,1,4,3,"0"
"8238",0.59,0.89,5,143,3,1,0,3,2,"0"
"13721",0.75,0.87,4,146,8,1,0,9,2,"0"
"7929",0.32,0.42,6,114,3,0,0,6,3,"0"
"8552",0.88,0.59,4,240,2,0,0,8,2,"0"
"7650",0.94,0.85,4,180,4,0,0,8,3,"0"
"11964",0.9,0.48,4,136,7,0,0,3,2,"0"
"7627",0.7,0.68,3,185,4,0,0,3,2,"0"
"11377.1",0.95,0.52,3,183,2,1,0,8,2,"0"
"6701.1",0.41,0.48,3,182,2,0,0,3,2,"0"
"7963.1",0.74,0.54,4,167,2,0,0,8,3,"0"
"6161",0.75,0.77,4,204,2,0,0,9,2,"0"
"2168",0.92,0.84,4,208,2,0,0,2,3,"0"
"6949",0.81,0.83,3,177,2,0,0,8,3,"0"
"6130",0.84,0.54,4,156,4,0,0,8,1,"0"
"5723",0.53,0.74,4,272,2,1,0,7,2,"0"
"12793.1",0.75,0.94,5,217,2,0,0,9,3,"0"
"6998",0.78,0.61,3,257,3,0,0,9,3,"0"
"10699.1",0.88,0.65,5,228,3,0,0,8,3,"0"
"5611",0.52,0.68,3,162,4,1,0,10,2,"0"
"10003",0.9,0.63,4,173,3,0,0,1,3,"0"
"11486",0.71,0.53,4,196,2,1,0,8,2,"0"
"2371",0.12,0.55,5,242,4,0,0,5,3,"0"
"4122",0.19,0.5,5,126,3,1,0,7,3,"0"
"5735",0.53,0.54,4,257,3,1,0,5,2,"0"
"10866",0.96,0.68,3,132,2,0,0,8,3,"0"
"7762",0.49,0.79,5,206,2,0,0,9,3,"0"
"9746",0.15,0.95,4,251,5,0,0,9,1,"0"
"5015",0.92,1,3,212,2,0,0,9,2,"0"
"11691",0.83,0.48,4,220,3,1,0,9,2,"0"
"4718",0.64,0.61,2,153,2,0,0,3,2,"0"
"9712.1",0.59,0.97,3,209,3,0,0,8,1,"0"
"7630",0.54,0.63,3,211,3,0,0,7,2,"0"
"13833",0.91,0.63,5,240,7,0,0,8,3,"0"
"10628",0.98,0.77,3,191,2,0,0,8,3,"0"
"10331",0.88,0.62,4,237,2,0,0,8,3,"0"
"4445",1,0.95,3,193,6,0,0,8,2,"0"
"3703",0.62,0.97,5,180,2,0,0,10,1,"0"
"8402.1",0.63,0.52,3,183,2,0,0,10,2,"0"
"2401",0.97,0.4,4,258,4,1,0,10,3,"0"
"8657.1",0.32,0.69,5,157,4,0,0,1,2,"0"
"2191",0.87,0.52,3,237,3,0,0,9,2,"0"
"9173.1",0.29,0.43,6,175,3,0,0,8,2,"0"
"4680",0.69,0.98,3,214,2,0,0,8,2,"0"
"2046",0.52,0.59,2,176,3,1,0,3,2,"0"
"5866.1",0.17,0.91,6,246,5,0,0,3,1,"0"
"13957.2",0.27,0.76,4,108,10,0,0,8,3,"0"
"10600.1",0.97,0.52,4,207,3,0,0,6,2,"0"
"13294",0.74,0.73,3,156,8,0,0,4,3,"0"
"5996",0.79,0.57,5,230,2,0,0,10,2,"0"
"8062",0.24,0.91,4,232,2,0,0,9,2,"0"
"2952",0.8,0.55,2,212,3,0,0,9,3,"0"
"4017",0.92,0.85,3,235,2,0,0,9,2,"0"
"6593",0.82,0.52,5,225,2,0,0,1,1,"0"
"10153.1",0.67,0.77,4,242,3,0,0,5,3,"0"
"7593.1",0.71,0.65,4,239,3,0,0,10,2,"0"
"2369.1",0.72,0.88,2,247,3,0,0,10,3,"0"
"13981",0.73,0.72,4,233,2,0,0,8,2,"0"
"2809.1",0.83,0.98,5,189,4,1,0,4,2,"0"
"3588.1",1,0.53,3,142,3,0,0,8,2,"0"
"3521",0.52,0.44,3,119,2,0,0,8,2,"0"
"11902",0.24,0.88,5,199,5,1,0,8,3,"0"
"8135.1",0.72,0.88,3,236,3,0,0,10,2,"0"
"11360",0.82,0.8,3,162,3,0,0,8,3,"0"
"5809",0.99,0.6,3,262,2,0,0,5,2,"0"
"7423",0.89,0.53,4,208,3,0,0,8,1,"0"
"4519.1",0.53,0.59,3,231,2,0,0,8,2,"0"
"7044",0.57,0.86,3,258,2,0,0,8,2,"0"
"4219",0.89,0.68,4,258,2,1,0,8,2,"0"
"3274",0.49,0.52,5,188,4,0,0,6,3,"0"
"5639.1",0.23,0.48,3,139,4,0,0,3,3,"0"
"14156.1",0.99,0.68,5,264,10,1,0,9,3,"0"
"4142",0.74,0.74,5,175,3,0,0,8,2,"0"
"13839",0.97,0.64,4,238,10,1,0,6,3,"0"
"3714.1",0.98,0.77,5,223,2,1,0,9,3,"0"
"13935",0.54,0.78,3,156,7,0,0,8,3,"0"
"13927",0.23,0.7,3,123,5,0,0,8,3,"0"
"7255",0.73,0.91,4,241,2,1,0,1,3,"0"
"4148.1",0.82,0.88,4,149,2,0,0,8,2,"0"
"11906.1",0.21,0.85,6,285,7,0,0,8,3,"0"
"9406.1",0.51,0.7,4,142,4,1,0,8,2,"0"
"6837",0.67,0.81,5,175,6,1,0,10,3,"0"
"8906",0.91,0.79,4,254,2,0,0,9,1,"0"
"10055",0.89,0.52,4,189,3,0,0,9,3,"0"
"5549",0.21,0.63,5,226,3,0,0,9,3,"0"
"2693.1",0.68,0.51,4,157,3,0,0,8,2,"0"
"14181",0.6,0.85,3,242,2,0,0,3,2,"0"
"3080.1",0.82,0.97,3,244,5,0,0,8,3,"0"
"10948",0.94,0.73,3,196,3,0,0,2,3,"0"
"4588",0.49,0.71,2,117,3,0,0,5,1,"0"
"10492.1",0.42,0.73,3,108,4,0,0,10,2,"0"
"13375",0.77,0.75,4,191,3,0,0,3,3,"0"
"9650",0.47,0.65,4,172,2,0,0,2,2,"0"
"5565",0.85,0.96,3,211,2,0,0,6,2,"0"
"2821",0.92,0.54,5,141,2,0,0,7,2,"0"
"13721.1",0.75,0.87,4,146,8,1,0,9,2,"0"
"7837",0.76,0.71,3,205,2,0,0,9,3,"0"
"13471.1",0.55,0.64,4,201,10,1,0,4,3,"0"
"6798",0.13,0.49,6,227,4,0,0,10,3,"0"
"4177.2",0.53,0.86,3,150,3,0,0,9,2,"0"
"8008",0.75,0.74,3,186,3,1,0,7,3,"0"
"9857",0.64,0.66,5,163,4,0,0,5,3,"0"
"6171.1",0.7,0.72,4,202,3,0,0,3,3,"0"
"9944",0.98,0.9,3,186,4,0,0,8,2,"0"
"6656.1",0.95,0.49,4,178,2,0,0,8,2,"0"
"5293.1",1,0.39,2,210,5,0,0,8,2,"0"
"10185",0.2,0.87,3,140,6,1,0,2,2,"0"
"8850.2",0.97,0.48,4,221,3,0,0,7,3,"0"
"13147",0.8,0.94,4,271,4,0,1,8,3,"0"
"11376",1,0.93,5,167,3,0,0,8,3,"0"
"3794",0.69,0.9,5,231,2,1,0,9,2,"0"
"8883.1",0.25,0.45,3,228,5,0,0,1,3,"0"
"14177",0.84,0.81,4,236,3,1,0,3,2,"0"
"8959.1",0.8,0.9,5,265,3,0,0,1,3,"0"
"10464",0.21,0.43,2,249,3,0,0,5,2,"0"
"13112",1,0.79,5,171,5,0,0,3,3,"0"
"5907.1",0.7,0.96,3,263,3,0,0,1,3,"0"
"10550",0.66,0.61,4,263,4,0,0,8,3,"0"
"12804.1",0.59,0.72,4,168,4,0,0,4,3,"0"
"5786.1",0.44,0.97,4,240,5,1,0,10,3,"0"
"3695",0.93,0.62,3,231,6,0,0,2,3,"0"
"13874.1",0.7,0.7,3,162,8,0,0,7,1,"0"
"4124",0.65,0.57,3,137,4,1,0,8,1,"0"
"8601",0.53,0.51,4,181,3,0,0,9,2,"0"
"5431",0.48,0.97,3,224,6,0,0,8,3,"0"
"12995",0.78,0.6,4,206,3,0,0,8,3,"0"
